20	15
2	(23,24,25)	3	(11,12,13)	9	(16,17,18)	4	(24,27,30)	0	(20,21,22)	6	(23,25,27)	8	(27,27,27)	7	(24,26,28)	1	(28,30,32)	5	(30,31,32)	11	(18,18,18)	14	(14,16,18)	13	(35,39,43)	10	(18,19,20)	12	(26,26,26)
6	(28,30,32)	3	(13,15,17)	12	(20,20,20)	11	(17,19,21)	1	(23,24,25)	13	(13,15,17)	10	(27,28,29)	2	(32,36,40)	5	(25,26,27)	7	(14,15,16)	0	(11,11,11)	8	(21,23,25)	14	(18,20,22)	9	(25,26,27)	4	(26,28,30)
6	(32,35,38)	0	(22,22,22)	13	(21,23,25)	7	(28,32,36)	2	(20,20,20)	3	(11,12,13)	12	(17,19,21)	10	(21,23,25)	9	(16,17,18)	1	(13,14,15)	5	(15,16,17)	11	(25,29,33)	8	(15,16,17)	4	(22,22,22)	14	(22,22,22)
9	(18,20,22)	6	(26,29,32)	1	(17,19,21)	7	(13,14,15)	12	(30,33,36)	4	(30,30,30)	0	(31,32,33)	5	(20,21,22)	11	(27,29,31)	10	(24,24,24)	14	(22,25,28)	2	(27,29,31)	3	(12,13,14)	8	(18,20,22)	13	(16,18,20)
11	(22,23,24)	13	(18,20,22)	1	(28,28,28)	6	(30,32,34)	7	(16,16,16)	5	(18,18,18)	8	(22,24,26)	9	(22,23,24)	3	(24,24,24)	10	(31,34,37)	2	(24,24,24)	0	(23,24,25)	14	(28,28,28)	12	(14,15,16)	4	(17,18,19)
8	(21,24,27)	11	(19,19,19)	14	(21,21,21)	1	(30,33,36)	7	(32,34,36)	6	(35,35,35)	5	(40,40,40)	10	(33,36,39)	3	(21,23,25)	2	(25,26,27)	4	(15,15,15)	9	(25,28,31)	13	(37,38,39)	12	(12,13,14)	0	(23,25,27)
13	(27,27,27)	3	(29,30,31)	6	(20,21,22)	8	(17,19,21)	12	(11,12,13)	4	(26,27,28)	2	(35,39,43)	9	(12,13,14)	14	(12,12,12)	5	(32,36,40)	10	(19,21,23)	11	(16,17,18)	1	(29,29,29)	0	(17,17,17)	7	(29,33,37)
5	(27,27,27)	4	(17,19,21)	6	(26,29,32)	9	(20,20,20)	3	(21,21,21)	10	(38,40,42)	8	(13,14,15)	14	(34,39,44)	13	(35,39,43)	2	(27,27,27)	1	(34,36,38)	12	(12,12,12)	11	(32,37,42)	7	(19,22,25)	0	(13,13,13)
13	(32,32,32)	11	(28,29,30)	8	(23,24,25)	3	(27,27,27)	5	(37,40,43)	4	(20,21,22)	9	(23,26,29)	0	(25,27,29)	14	(25,27,29)	6	(14,16,18)	2	(20,21,22)	10	(13,13,13)	7	(26,28,30)	12	(27,28,29)	1	(29,32,35)
12	(35,35,35)	1	(10,11,12)	5	(34,39,44)	14	(18,18,18)	7	(21,23,25)	0	(32,34,36)	3	(23,24,25)	13	(10,11,12)	8	(28,30,32)	11	(27,31,35)	4	(15,15,15)	10	(15,15,15)	2	(26,28,30)	9	(23,26,29)	6	(33,33,33)
10	(24,28,32)	5	(33,37,41)	12	(26,29,32)	1	(27,31,35)	7	(25,25,25)	8	(13,13,13)	14	(13,14,15)	4	(18,20,22)	3	(27,27,27)	9	(25,25,25)	13	(30,31,32)	11	(14,14,14)	6	(25,25,25)	2	(35,39,43)	0	(31,36,41)
0	(22,22,22)	11	(24,25,26)	5	(25,28,31)	13	(30,35,40)	4	(30,31,32)	8	(19,21,23)	9	(18,20,22)	14	(17,19,21)	2	(28,29,30)	7	(31,32,33)	10	(17,18,19)	1	(17,18,19)	3	(10,11,12)	12	(16,17,18)	6	(14,15,16)
12	(39,39,39)	5	(30,32,34)	2	(34,36,38)	8	(13,14,15)	3	(27,28,29)	13	(35,37,39)	0	(37,38,39)	6	(18,20,22)	7	(17,19,21)	11	(12,12,12)	14	(22,22,22)	1	(36,36,36)	4	(15,15,15)	9	(30,32,34)	10	(14,16,18)
8	(27,28,29)	1	(29,29,29)	14	(39,40,41)	12	(21,23,25)	4	(31,34,37)	5	(30,33,36)	6	(24,27,30)	10	(16,17,18)	0	(19,20,21)	7	(24,28,32)	11	(20,21,22)	2	(20,21,22)	13	(19,20,21)	9	(29,33,37)	3	(25,27,29)
9	(21,21,21)	14	(34,34,34)	3	(29,30,31)	12	(33,38,43)	0	(11,11,11)	11	(14,16,18)	2	(13,14,15)	5	(13,14,15)	1	(32,34,36)	8	(29,33,37)	4	(23,23,23)	13	(40,40,40)	10	(12,12,12)	6	(22,23,24)	7	(24,27,30)
