20	5
1	(20,23,26)	0	(75,82,89)	4	(76,84,92)	2	(45,45,45)	3	(33,38,43)
3	(45,50,55)	4	(38,41,44)	1	(29,29,29)	0	(18,18,18)	2	(20,21,22)
4	(16,16,16)	3	(48,54,60)	1	(47,52,57)	2	(35,38,41)	0	(50,52,54)
1	(61,62,63)	3	(52,57,62)	4	(36,37,38)	2	(73,74,75)	0	(52,54,56)
3	(59,68,77)	1	(55,61,67)	2	(29,30,31)	0	(79,81,83)	4	(52,57,62)
1	(81,89,97)	2	(77,89,101)	3	(11,11,11)	0	(79,79,79)	4	(80,81,82)
1	(66,66,66)	0	(90,91,92)	3	(31,33,35)	4	(18,20,22)	2	(20,20,20)
3	(8,8,8)	4	(21,24,27)	2	(53,55,57)	0	(29,32,35)	1	(78,84,90)
0	(7,7,7)	2	(59,64,69)	1	(35,39,43)	4	(50,56,62)	3	(51,54,57)
0	(17,19,21)	4	(35,40,45)	3	(7,7,7)	2	(7,8,9)	1	(80,83,86)
0	(62,63,64)	2	(61,64,67)	3	(84,91,98)	4	(36,40,44)	1	(6,6,6)
1	(42,42,42)	3	(54,61,68)	4	(15,15,15)	2	(88,98,108)	0	(64,74,84)
1	(71,80,89)	0	(23,26,29)	3	(71,75,79)	4	(6,6,6)	2	(79,87,95)
2	(38,39,40)	4	(19,22,25)	0	(65,75,85)	3	(21,24,27)	1	(43,44,45)
1	(14,15,16)	3	(75,79,83)	4	(8,8,8)	0	(12,12,12)	2	(18,20,22)
3	(25,26,27)	2	(38,43,48)	0	(75,80,85)	4	(20,22,24)	1	(57,61,65)
2	(61,62,63)	1	(35,36,37)	0	(60,63,66)	3	(94,96,98)	4	(39,40,41)
1	(32,33,34)	3	(18,18,18)	0	(20,22,24)	4	(5,5,5)	2	(9,10,11)
2	(56,64,72)	4	(61,64,67)	0	(82,89,96)	1	(85,96,107)	3	(91,95,99)
2	(17,18,19)	4	(21,23,25)	3	(13,15,17)	1	(38,38,38)	0	(8,8,8)
