30	20
4	(11,11,11)	10	(42,45,48)	12	(30,34,38)	5	(57,61,65)	3	(8,8,8)	8	(89,97,105)	19	(52,59,66)	15	(70,72,74)	6	(74,82,90)	0	(57,57,57)	11	(78,87,96)	13	(60,61,62)	1	(85,90,95)	16	(4,4,4)	17	(15,17,19)	18	(67,69,71)	2	(92,95,98)	14	(14,15,16)	7	(92,97,102)	9	(87,93,99)
6	(49,57,65)	1	(62,64,66)	2	(14,15,16)	13	(19,19,19)	11	(14,14,14)	3	(54,54,54)	12	(69,71,73)	14	(29,29,29)	10	(17,17,17)	19	(42,43,44)	7	(80,81,82)	18	(86,87,88)	16	(62,65,68)	17	(62,62,62)	15	(71,80,89)	5	(68,75,82)	0	(17,19,21)	4	(41,48,55)	9	(32,33,34)	8	(61,68,75)
17	(68,71,74)	15	(1,1,1)	8	(78,90,102)	16	(74,81,88)	1	(78,84,90)	10	(17,19,21)	13	(66,75,84)	14	(75,83,91)	6	(24,25,26)	12	(65,69,73)	0	(1,1,1)	9	(69,80,91)	5	(31,35,39)	18	(74,76,78)	2	(37,37,37)	4	(23,23,23)	3	(12,13,14)	19	(4,4,4)	11	(71,81,91)	7	(18,20,22)
7	(14,16,18)	1	(80,91,102)	2	(22,22,22)	17	(25,28,31)	16	(83,89,95)	8	(95,99,103)	9	(61,69,77)	4	(21,22,23)	15	(85,85,85)	14	(24,25,26)	6	(55,60,65)	18	(33,33,33)	13	(15,17,19)	3	(6,6,6)	0	(94,94,94)	11	(53,56,59)	19	(8,8,8)	12	(68,77,86)	5	(47,54,61)	10	(71,82,93)
10	(3,3,3)	1	(49,51,53)	7	(42,43,44)	3	(20,21,22)	17	(64,66,68)	0	(68,71,74)	2	(16,17,18)	18	(95,98,101)	12	(70,73,76)	16	(73,76,79)	6	(93,93,93)	13	(80,88,96)	11	(58,61,64)	8	(76,79,82)	15	(9,9,9)	19	(18,18,18)	9	(27,31,35)	14	(74,80,86)	5	(4,4,4)	4	(30,32,34)
4	(41,44,47)	8	(85,97,109)	3	(7,7,7)	9	(50,54,58)	12	(12,12,12)	2	(63,68,73)	6	(24,26,28)	18	(38,42,46)	5	(17,19,21)	19	(82,92,102)	1	(51,57,63)	11	(67,71,75)	17	(62,67,72)	0	(2,2,2)	13	(48,49,50)	16	(38,40,42)	14	(46,51,56)	7	(27,27,27)	15	(34,35,36)	10	(21,22,23)
17	(5,5,5)	4	(48,55,62)	13	(2,2,2)	19	(6,6,6)	15	(59,65,71)	3	(39,42,45)	2	(18,19,20)	1	(64,64,64)	7	(48,51,54)	16	(4,4,4)	8	(12,13,14)	10	(44,46,48)	12	(51,52,53)	6	(38,38,38)	11	(14,15,16)	9	(76,87,98)	14	(67,74,81)	18	(57,64,71)	5	(69,80,91)	0	(80,91,102)
10	(83,92,101)	1	(38,39,40)	0	(21,24,27)	17	(71,71,71)	18	(11,12,13)	7	(33,37,41)	16	(56,64,72)	6	(16,17,18)	15	(95,95,95)	12	(48,52,56)	2	(9,9,9)	11	(3,3,3)	4	(87,87,87)	8	(42,46,50)	14	(62,71,80)	5	(28,29,30)	19	(22,22,22)	13	(59,62,65)	3	(41,43,45)	9	(46,51,56)
17	(68,78,88)	0	(79,91,103)	9	(23,26,29)	7	(81,81,81)	4	(40,43,46)	2	(40,43,46)	5	(86,93,100)	18	(35,35,35)	11	(34,36,38)	12	(68,74,80)	14	(18,18,18)	13	(30,30,30)	19	(14,15,16)	3	(57,64,71)	8	(79,90,101)	10	(66,75,84)	1	(33,37,41)	15	(31,35,39)	6	(38,39,40)	16	(84,87,90)
11	(12,14,16)	1	(20,21,22)	9	(66,74,82)	16	(26,30,34)	12	(56,62,68)	3	(60,70,80)	6	(84,87,90)	13	(29,29,29)	10	(85,86,87)	14	(83,88,93)	8	(24,24,24)	19	(49,54,59)	4	(11,11,11)	18	(15,15,15)	0	(20,21,22)	5	(29,29,29)	17	(55,57,59)	15	(72,75,78)	2	(50,57,64)	7	(38,43,48)
