15	15
1071	4	1	(23,26,29)	12	(67,67,67)	0	(65,72,79)	6	(70,74,78)	14	(13,13,13)	8	(41,43,45)	4	(27,30,33)	3	(18,19,20)	10	(22,23,24)	11	(84,85,86)	5	(97,98,99)	13	(41,43,45)	2	(37,38,39)	7	(8,8,8)	9	(64,75,86)
1093	4	14	(42,42,42)	0	(38,39,40)	4	(55,55,55)	12	(44,46,48)	1	(18,19,20)	8	(85,93,101)	9	(69,80,91)	5	(25,26,27)	10	(7,7,7)	6	(47,50,53)	11	(55,57,59)	3	(68,73,78)	2	(8,9,10)	7	(53,61,69)	13	(62,72,82)
1177	4	3	(86,96,106)	4	(95,99,103)	12	(32,34,36)	6	(53,60,67)	7	(37,43,49)	14	(7,7,7)	13	(11,12,13)	8	(11,11,11)	11	(60,70,80)	10	(37,43,49)	0	(86,91,96)	1	(63,68,73)	9	(11,11,11)	5	(62,68,74)	2	(65,72,79)
1273	2	14	(55,63,71)	11	(40,45,50)	4	(44,49,54)	1	(65,74,83)	8	(26,27,28)	0	(28,30,32)	9	(67,72,77)	7	(9,9,9)	12	(87,99,111)	13	(60,60,60)	5	(62,69,76)	6	(67,69,71)	2	(76,84,92)	3	(39,40,41)	10	(54,59,64)
1354	2	2	(91,91,91)	0	(68,75,82)	9	(91,98,105)	3	(17,17,17)	10	(65,72,79)	13	(27,31,35)	11	(9,9,9)	14	(88,98,108)	7	(48,50,52)	5	(36,37,38)	4	(8,8,8)	8	(62,65,68)	1	(84,90,96)	12	(91,91,91)	6	(70,71,72)
1173	2	11	(33,35,37)	6	(79,80,81)	4	(37,39,41)	3	(60,62,64)	14	(68,74,80)	5	(69,72,75)	10	(33,35,37)	9	(25,25,25)	1	(43,49,55)	8	(52,52,52)	7	(56,63,70)	2	(86,90,94)	13	(21,21,21)	12	(47,47,47)	0	(36,38,40)
1014	2	14	(19,19,19)	7	(51,57,63)	10	(22,24,26)	13	(83,91,99)	3	(50,50,50)	0	(5,5,5)	11	(42,49,56)	12	(17,18,19)	9	(56,58,60)	5	(22,24,26)	8	(50,52,54)	1	(83,88,93)	2	(66,68,70)	6	(20,20,20)	4	(51,53,55)
1053	2	7	(66,77,88)	14	(62,72,82)	5	(31,35,39)	11	(77,90,103)	4	(59,68,77)	6	(16,18,20)	3	(9,9,9)	0	(33,33,33)	8	(59,60,61)	10	(18,18,18)	12	(9,10,11)	13	(54,60,66)	1	(36,38,40)	2	(89,99,109)	9	(14,15,16)
1414	2	13	(6,6,6)	8	(84,86,88)	2	(40,40,40)	9	(75,79,83)	12	(79,92,105)	11	(20,23,26)	5	(86,89,92)	10	(82,95,108)	6	(80,91,102)	7	(67,72,77)	0	(79,80,81)	1	(55,60,65)	3	(54,56,58)	4	(46,51,56)	14	(22,23,24)
966	2	1	(44,46,48)	6	(28,28,28)	5	(30,34,38)	11	(75,77,79)	4	(47,47,47)	0	(9,10,11)	14	(47,49,51)	8	(74,77,80)	10	(47,48,49)	7	(22,24,26)	12	(8,8,8)	2	(69,72,75)	13	(50,55,60)	9	(29,29,29)	3	(36,40,44)
646	2	10	(22,22,22)	4	(80,89,98)	12	(70,79,88)	0	(7,7,7)	9	(14,15,16)	1	(6,6,6)	11	(28,30,32)	6	(35,38,41)	5	(11,11,11)	8	(48,52,56)	3	(18,20,22)	7	(5,5,5)	14	(8,9,10)	2	(18,20,22)	13	(24,28,32)
1149	2	5	(71,73,75)	14	(49,56,63)	2	(37,37,37)	3	(22,22,22)	13	(25,25,25)	6	(55,58,61)	1	(8,8,8)	7	(85,93,101)	4	(88,88,88)	8	(17,17,17)	12	(9,9,9)	11	(67,69,71)	10	(64,71,78)	9	(84,85,86)	0	(48,55,62)
1162	1	9	(76,85,94)	14	(56,58,60)	3	(41,46,51)	8	(56,64,72)	2	(48,49,50)	6	(34,37,40)	1	(31,33,35)	4	(27,30,33)	5	(25,26,27)	0	(19,20,21)	13	(74,74,74)	10	(69,77,85)	12	(98,99,100)	11	(51,56,61)	7	(21,21,21)
1209	1	10	(16,17,18)	3	(24,24,24)	4	(76,89,102)	5	(15,15,15)	11	(56,60,64)	1	(39,42,45)	8	(91,98,105)	2	(63,64,65)	13	(92,92,92)	0	(57,63,69)	7	(45,52,59)	12	(47,54,61)	6	(70,75,80)	14	(23,23,23)	9	(35,38,41)
1068	1	3	(8,8,8)	5	(17,17,17)	11	(50,56,62)	7	(93,93,93)	14	(23,26,29)	9	(60,62,64)	6	(7,7,7)	10	(85,88,91)	0	(85,97,109)	1	(7,7,7)	2	(40,43,46)	8	(29,29,29)	13	(31,35,39)	12	(79,87,95)	4	(50,57,64)
