30	20
1836	4	2	(85,96,107)	8	(26,26,26)	6	(32,33,34)	0	(19,19,19)	4	(38,43,48)	15	(17,17,17)	16	(26,26,26)	13	(57,66,75)	5	(78,84,90)	12	(54,56,58)	10	(76,83,90)	7	(58,66,74)	14	(70,74,78)	19	(24,24,24)	1	(82,85,88)	3	(41,47,53)	18	(85,88,91)	17	(93,97,101)	9	(37,41,45)	11	(73,77,81)
1811	4	0	(68,70,72)	10	(41,46,51)	13	(85,90,95)	3	(53,61,69)	2	(23,24,25)	7	(63,63,63)	1	(95,95,95)	16	(32,34,36)	9	(42,47,52)	17	(48,50,52)	18	(62,62,62)	15	(10,10,10)	11	(66,66,66)	8	(51,52,53)	19	(45,49,53)	5	(4,4,4)	4	(81,94,107)	12	(34,38,42)	14	(82,93,104)	6	(84,84,84)
1377	4	0	(43,48,53)	19	(52,60,68)	11	(14,15,16)	9	(25,25,25)	15	(19,21,23)	3	(97,99,101)	13	(50,56,62)	18	(29,32,35)	1	(29,31,33)	5	(32,36,40)	7	(74,74,74)	6	(66,72,78)	10	(80,91,102)	4	(26,29,32)	14	(31,34,37)	8	(50,50,50)	12	(21,21,21)	2	(33,36,39)	16	(1,1,1)	17	(29,30,31)
1900	4	7	(48,50,52)	19	(82,84,86)	10	(69,74,79)	11	(33,35,37)	9	(78,86,94)	14	(40,42,44)	6	(30,31,32)	12	(59,62,65)	16	(81,82,83)	13	(65,66,67)	5	(36,39,42)	15	(42,48,54)	4	(98,98,98)	3	(95,99,103)	17	(44,48,52)	8	(77,77,77)	1	(29,31,33)	18	(48,51,54)	2	(40,44,48)	0	(36,41,46)
1427	4	0	(77,90,103)	6	(24,27,30)	11	(29,30,31)	1	(58,68,78)	3	(23,25,27)	16	(81,94,107)	19	(61,66,71)	12	(43,48,53)	10	(41,47,53)	7	(16,16,16)	5	(83,90,97)	2	(22,23,24)	15	(5,5,5)	4	(3,3,3)	18	(10,10,10)	14	(37,37,37)	9	(69,74,79)	8	(26,28,30)	13	(24,25,26)	17	(84,86,88)
1715	4	17	(32,32,32)	8	(73,76,79)	19	(26,29,32)	16	(53,60,67)	0	(60,60,60)	12	(19,21,23)	13	(2,2,2)	14	(58,65,72)	3	(20,22,24)	2	(34,36,38)	1	(76,80,84)	10	(55,61,67)	7	(52,55,58)	9	(75,84,93)	15	(87,99,111)	4	(24,25,26)	6	(62,68,74)	11	(76,80,84)	18	(62,67,72)	5	(44,50,56)
1548	2	18	(81,90,99)	1	(9,9,9)	9	(25,28,31)	11	(38,38,38)	17	(35,36,37)	0	(19,19,19)	2	(4,4,4)	6	(44,46,48)	16	(74,84,94)	10	(67,71,75)	4	(53,60,67)	14	(23,23,23)	19	(55,63,71)	12	(73,77,81)	15	(66,72,78)	7	(2,2,2)	3	(55,63,71)	5	(24,24,24)	8	(52,60,68)	13	(92,99,106)
1900	2	14	(84,96,108)	9	(75,78,81)	11	(74,79,84)	8	(87,90,93)	2	(55,63,71)	16	(76,80,84)	4	(9,10,11)	1	(2,2,2)	19	(59,67,75)	6	(83,96,109)	0	(66,69,72)	7	(13,13,13)	15	(40,42,44)	18	(49,54,59)	12	(73,76,79)	17	(31,32,33)	13	(66,75,84)	3	(49,52,55)	5	(92,98,104)	10	(15,16,17)
1710	2	3	(29,31,33)	14	(73,80,87)	9	(75,77,79)	0	(51,56,61)	11	(85,85,85)	10	(92,95,98)	4	(59,59,59)	12	(41,46,51)	5	(4,4,4)	16	(77,85,93)	2	(37,42,47)	1	(13,14,15)	13	(4,4,4)	7	(38,40,42)	17	(39,40,41)	19	(44,48,52)	6	(88,90,92)	18	(73,82,91)	8	(4,4,4)	15	(84,87,90)
1214	2	13	(3,3,3)	7	(46,53,60)	9	(33,33,33)	0	(82,93,104)	3	(60,62,64)	8	(16,17,18)	11	(59,65,71)	4	(21,23,25)	5	(10,10,10)	14	(39,44,49)	15	(44,49,54)	6	(2,2,2)	2	(51,54,57)	17	(22,25,28)	1	(37,42,47)	10	(50,57,64)	19	(21,23,25)	18	(14,16,18)	16	(69,76,83)	12	(11,12,13)
